3 1:0.758216781 2:1.299228508 3:0.644675165 4:0.421171699 5:0.088510653
3 1:0.329519475 2:0.748346804 3:0.612087442 4:0.222338572 5:0.054514848
3 1:0.900042912 2:1.822556943 3:0.793222694 4:0.553217363 5:0.061275008
3 1:0.420993232 2:0.774430566 3:0.781244822 4:0.223386911 5:0.058518016
3 1:0.852524794 2:1.944158707 3:0.696015393 4:0.604842431 5:0.024306197
3 1:0.879025305 2:1.648052902 3:0.649007189 4:0.583073246 5:0.120958057
3 1:0.927202877 2:2.044819985 3:0.641267805 4:0.617106346 5:0.034069948
3 1:0.643171144 2:1.300698016 3:0.871546541 4:0.400540384 5:0.064362109
3 1:0.819670127 2:1.653747245 3:0.654779657 4:0.479389183 5:0.056486255
3 1:0.452701902 2:0.781410727 3:0.802033726 4:0.297170676 5:0.072294902
3 1:0.251454162 2:0.46289493 3:0.781073786 4:0.143286176 5:0.073010995
3 1:0.658661286 2:1.127847171 3:0.619687859 4:0.374569537 5:0.081711447
3 1:0.311711116 2:0.523512123 3:0.741981346 4:0.163410751 5:0.060859602
3 1:0.924099846 2:1.852681852 3:0.591424143 4:0.598814915 5:0.047500322
3 1:0.276944345 2:0.589823659 3:0.448761324 4:0.169434926 5:0.024294104
3 1:0.699345315 2:1.186076414 3:0.587941955 4:0.380542525 5:0.079205224
3 1:0.467036623 2:0.911829537 3:1.124776183 4:0.3013792 5:0.3
3 1:0.64572213 2:1.605069802 3:0.797862049 4:0.507476852 5:0.091402968
3 1:0.697048913 2:1.253490081 3:0.56101713 4:0.402875619 5:0.047555849
4 1:0.738124694 2:1.318883174 3:0.640816163 4:0.496452766 5:0.030427589
4 1:0.865949377 2:1.608927259 3:0.661666533 4:0.542924279 5:0.060941815
4 1:0.568521267 2:1.081190301 3:0.697287474 4:0.446764213 5:0.054703428
4 1:0.711398023 2:1.391256429 3:0.547874075 4:0.477611432 5:0.039650181
4 1:0.420630461 2:0.718038207 3:0.703009166 4:0.280985122 5:0.013334363
4 1:0.367187484 2:0.680198384 3:0.659742377 4:0.224176968 5:0.050000868
4 1:0.448521658 2:0.856722998 3:0.599067319 4:0.30937755 5:0.043279578
4 1:0.891348491 2:1.695811903 3:0.516430156 4:0.588296711 5:0.048587695
4 1:0.204760655 2:0.416605437 3:0.598447313 4:0.154009764 5:0.034811046
4 1:0.250636892 2:0.488243938 3:0.544274299 4:0.17384216 5:0.037526725
4 1:0.747433157 2:1.430933137 3:0.46881798 4:0.543550025 5:0.051352123
4 1:0.877055528 2:1.643828068 3:0.631633662 4:0.542274134 5:0.09127194
4 1:0.41092131 2:0.670462895 3:0.611496833 4:0.280515062 5:0.040700591
4 1:0.453533441 2:0.85047759 3:0.624821615 4:0.293180008 5:0.067548255
4 1:0.313281067 2:0.588170463 3:0.65069617 4:0.229105989 5:0.045591722
4 1:0.37728067 2:0.810433505 3:0.557553649 4:0.269968351 5:0.028439425
4 1:0.521068744 2:1.018919912 3:0.589264812 4:0.33246127 5:0.047402367
4 1:0.936864855 2:1.689750184 3:0.623068495 4:0.682055381 5:0.031548426
4 1:0.170711881 2:0.32421014 3:0.61062829 4:0.105918225 5:0.044936779
4 1:0.594928209 2:1.099191771 3:0.630639515 4:0.397697621 5:0.064636875
4 1:0.868304439 2:1.790227774 3:0.613960822 4:0.622676404 5:0.050363615
5 1:0.850253761 2:2.150440852 3:0.530252011 4:0.658806518 5:0.019246555
5 1:0.274882591 2:0.662931668 3:0.691589834 4:0.187609611 5:0.042463735
5 1:0.545652614 2:1.483835415 3:0.621657447 4:0.465090252 5:0.037921272
5 1:0.520534346 2:1.322373255 3:0.632392635 4:0.432362519 5:0.038757989
5 1:0.716112932 2:1.928545187 3:0.867636762 4:0.569955598 5:0.025952097
5 1:0.252978358 2:0.486407054 3:0.714861434 4:0.173304705 5:0.041311267
5 1:0.324034614 2:0.750551065 3:0.710021647 4:0.229193162 5:0.038258764
5 1:0.694717348 2:1.405400441 3:0.621531842 4:0.448146201 5:0.03889697
5 1:0.780452341 2:1.903196179 3:0.798014378 4:0.542295523 5:0.05130335
5 1:0.429475589 2:0.880786187 3:0.864472594 4:0.313607442 5:0.051272224
5 1:0.324855856 2:0.905767818 3:0.789946284 4:0.267199828 5:0.033330414
5 1:0.279561829 2:0.666054372 3:0.649146156 4:0.193531755 5:0.030052435
5 1:0.31249321 2:0.71050698 3:0.652248858 4:0.243288839 5:0.025682215
5 1:0.286919161 2:0.591293167 3:0.778652556 4:0.206690677 5:0.057149522
5 1:0.729013596 2:2.425238795 3:0.638223897 4:0.747306365 5:0.034201459
5 1:0.394153482 2:0.877847171 3:0.690536893 4:0.327521955 5:0.03067609
5 1:0.730161737 2:1.585782513 3:0.606328336 4:0.47198006 5:0.02182627
5 1:0.212174995 2:0.480529023 3:0.620353296 4:0.137577024 5:0.036297111
5 1:0.373364668 2:0.832292432 3:0.590814827 4:0.317978485 5:0.035934152
5 1:0.322879318 2:0.830271859 3:0.955135092 4:0.241519809 5:0.029070525
